teacher_to_student_ratio,school_type,mock_result,NECTA_result
86,Government,F,0
120,Government,F,0
106,Government,F,0
117,Government,D,1
80,Government,F,0
89,Government,F,0
108,Government,F,1
74,Government,F,1
70,Government,A,1
77,Government,F,1
116,Government,F,0
83,Government,F,0
94,Government,F,0
84,Government,F,0
69,Government,F,1
72,Government,F,0
79,Government,F,0
93,Government,D,1
110,Government,F,0
93,Government,F,0
78,Government,F,1
83,Government,F,0
83,Government,F,0
101,Government,F,1
101,Government,C,1
99,Government,F,0
106,Government,F,0
104,Government,F,0
64,Government,F,0
115,Government,F,0
98,Government,F,0
72,Government,F,0
97,Government,F,0
74,Government,F,0
85,Government,F,0
75,Government,C,1
109,Government,F,0
94,Government,F,0
128,Government,F,1
119,Government,F,1
113,Government,F,0
101,Government,F,1
109,Government,F,1
95,Government,F,0
105,Government,F,0
83,Government,F,0
78,Government,F,0
111,Government,F,0
98,Government,F,0
116,Government,F,0
84,Government,F,0
109,Government,F,0
103,Government,F,0
86,Government,F,0
121,Government,F,0
99,Government,B,1
124,Government,F,0
117,Government,D,1
98,Government,F,0
121,Government,F,0
101,Government,F,0
75,Government,F,0
82,Government,F,1
109,Government,F,0
91,Government,F,0
118,Government,F,0
94,Government,F,0
76,Government,F,0
96,Government,F,0
95,Government,F,0
93,Government,F,0
85,Government,F,0
78,Government,F,1
101,Government,F,0
102,Government,F,0
104,Government,F,0
86,Government,F,0
72,Government,C,1
80,Government,F,0
91,Government,F,0
85,Government,F,0
69,Government,F,0
87,Government,D,1
98,Government,F,0
99,Government,F,0
111,Government,D,0
85,Government,B,1
76,Government,F,0
89,Government,F,0
82,Government,D,1
61,Government,F,0
114,Government,F,0
91,Government,F,0
95,Government,F,0
109,Government,F,0
52,Government,D,1
112,Government,F,1
99,Government,F,0
88,Government,F,0
111,Government,F,0
84,Government,F,0
64,Government,F,0
119,Government,F,0
73,Government,A,1
105,Government,F,0
81,Government,F,0
98,Government,F,0
87,Government,F,0
108,Government,D,0
109,Government,F,0
70,Government,F,1
84,Government,F,0
91,Government,F,0
76,Government,D,0
84,Government,F,0
81,Government,B,1
68,Government,C,1
76,Government,F,0
98,Government,F,0
97,Government,F,0
71,Government,A,1
87,Government,F,0
107,Government,F,0
124,Government,F,0
117,Government,F,0
94,Government,F,0
81,Government,F,0
74,Government,C,1
74,Government,D,0
53,Government,C,1
105,Government,F,0
108,Government,F,0
96,Government,F,0
97,Government,F,1
67,Government,C,1
100,Government,F,0
84,Government,F,0
72,Government,F,0
91,Government,F,1
97,Government,F,0
113,Government,F,0
90,Government,F,0
77,Government,B,1
98,Government,F,0
86,Government,F,0
75,Government,F,0
90,Government,F,1
77,Government,F,0
98,Government,D,0
109,Government,F,1
66,Government,F,0
107,Government,F,0
104,Government,F,0
109,Government,F,0
73,Government,D,1
86,Government,F,0
125,Government,F,0
105,Government,F,0
119,Government,F,0
114,Government,F,1
88,Government,F,0
96,Government,F,0
96,Government,F,0
85,Government,F,0
110,Government,F,0
108,Government,F,0
64,Government,F,0
100,Government,F,0
97,Government,F,0
98,Government,F,0
126,Government,F,0
78,Government,D,1
101,Government,F,0
96,Government,F,0
88,Government,D,1
95,Government,F,0
112,Government,F,0
86,Government,F,0
80,Government,F,1
131,Government,F,0
106,Government,F,0
102,Government,F,0
90,Government,D,1
90,Government,F,0
73,Government,C,1
98,Government,F,1
115,Government,F,1
87,Government,F,0
88,Government,C,1
95,Government,F,0
80,Government,F,0
104,Government,F,1
88,Government,F,1
104,Government,F,0
92,Government,F,0
107,Government,F,0
86,Government,F,0
103,Government,F,0
83,Government,F,0
106,Government,F,0
103,Government,F,0
96,Government,F,0
104,Government,F,0
110,Government,F,0
77,Government,F,1
103,Government,D,1
102,Government,F,0
91,Government,C,1
90,Government,B,1
102,Government,F,0
82,Government,F,1
92,Government,F,0
107,Government,D,1
82,Government,D,1
86,Government,F,0
83,Government,F,1
74,Government,C,1
97,Government,F,0
